fitsfile,center_ra,center_dec,radius,overlaps
P207+60_mosaic-blanked.fits,207.43116844286848,59.92931666405003,0.7448437500000001,P202+60_mosaic-blanked.fits;P203+57_mosaic-blanked.fits;P205+55_mosaic-blanked.fits;P208+57_mosaic-blanked.fits;P209+55_mosaic-blanked.fits;P212+60_mosaic-blanked.fits
P33Hetdex08_mosaic-blanked.fits,193.77032136221771,52.122516664718965,0.6568750000000001,P191+55_mosaic-blanked.fits;P193+57_mosaic-blanked.fits;P196+55_mosaic-blanked.fits;P29Hetdex19_mosaic-blanked.fits;P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits
P223+42_mosaic-blanked.fits,223.32743528627302,42.45251666528073,0.6446875000000001,P219+42_mosaic-blanked.fits;P221+45_mosaic-blanked.fits;P221+47_mosaic-blanked.fits;P225+45_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P226+42_mosaic-blanked.fits
P222+60_mosaic-blanked.fits,222.95716627304017,60.0156166640409,0.7378125000000002,P217+57_mosaic-blanked.fits;P217+60_mosaic-blanked.fits;P222+58_mosaic-blanked.fits;P223+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P228+60_mosaic-blanked.fits
P213+47_mosaic-blanked.fits,213.85338421157593,47.418416665018036,0.6985937500000001,P210+45_mosaic-blanked.fits;P210+47_mosaic-blanked.fits;P211+50_mosaic-blanked.fits;P212+42_mosaic-blanked.fits;P214+45_mosaic-blanked.fits;P214+52_mosaic-blanked.fits;P215+50_mosaic-blanked.fits;P217+47_mosaic-blanked.fits;P218+45_mosaic-blanked.fits;P219+50_mosaic-blanked.fits
P166+60_mosaic-blanked.fits,166.21617385092438,59.71191666407277,0.6760937500000002,P161+60_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P165+57_mosaic-blanked.fits;P169+57_mosaic-blanked.fits;P171+60_mosaic-blanked.fits
P159+45_mosaic-blanked.fits,159.87541458749,44.62261666517148,0.7259375000000001,P156+42_mosaic-blanked.fits;P156+45_mosaic-blanked.fits;P156+47_mosaic-blanked.fits;P158+50_mosaic-blanked.fits;P160+42_mosaic-blanked.fits;P160+47_mosaic-blanked.fits;P163+42_mosaic-blanked.fits;P163+45_mosaic-blanked.fits;P3Hetdex16_mosaic-blanked.fits
P140+60_mosaic-blanked.fits,140.5931772584719,59.57321666408713,0.7404687500000002,P141+57_mosaic-blanked.fits;P142+55_mosaic-blanked.fits;P145+57_mosaic-blanked.fits;P145+60_mosaic-blanked.fits
P4Hetdex16_mosaic-blanked.fits,164.07232136221774,52.122516664718965,0.7437500000000001,P159+52_mosaic-blanked.fits;P160+55_mosaic-blanked.fits;P164+55_mosaic-blanked.fits;P165+57_mosaic-blanked.fits;P169+55_mosaic-blanked.fits;P2Hetdex01_mosaic-blanked.fits;P3Hetdex16_mosaic-blanked.fits;P6_mosaic-blanked.fits;P8Hetdex_mosaic-blanked.fits
P141+45_mosaic-blanked.fits,141.70341558320146,44.523616665176654,0.7589062500000002,P141+47_mosaic-blanked.fits;P142+42_mosaic-blanked.fits;P142+50_mosaic-blanked.fits;P145+45_mosaic-blanked.fits;P145+47_mosaic-blanked.fits;P146+42_mosaic-blanked.fits
P34Hetdex06_mosaic-blanked.fits,195.89135514997255,49.748416664877155,0.5909375000000001,P30Hetdex06_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P32Hetdex08_mosaic-blanked.fits;P33Hetdex08_mosaic-blanked.fits;P35Hetdex10_mosaic-blanked.fits;P37Hetdex15_mosaic-blanked.fits;P38Hetdex07_mosaic-blanked.fits
P227+53_mosaic-blanked.fits,227.6843153084764,52.51551666469114,0.7931250000000001,P223+50_mosaic-blanked.fits;P223+52_mosaic-blanked.fits;P223+55_mosaic-blanked.fits;P225+47_mosaic-blanked.fits;P227+50_mosaic-blanked.fits;P227+55_mosaic-blanked.fits;P227+58_mosaic-blanked.fits;P229+48_mosaic-blanked.fits;P231+50_mosaic-blanked.fits;P231+53_mosaic-blanked.fits;P232+55_mosaic-blanked.fits
P32Hetdex08_mosaic-blanked.fits,195.8914072914753,45.332816665133954,0.7912500000000001,P191+42_mosaic-blanked.fits;P195+42_mosaic-blanked.fits;P198+42_mosaic-blanked.fits;P31Hetdex19_mosaic-blanked.fits;P34Hetdex06_mosaic-blanked.fits;P35Hetdex10_mosaic-blanked.fits;P36Hetdex10_mosaic-blanked.fits;P8Hetdex28_mosaic-blanked.fits
P145+60_mosaic-blanked.fits,145.70917656343076,59.601616664084204,0.7454687500000001,P140+60_mosaic-blanked.fits;P141+57_mosaic-blanked.fits;P145+57_mosaic-blanked.fits;P146+55_mosaic-blanked.fits;P150+57_mosaic-blanked.fits;P150+60_mosaic-blanked.fits
